image_path,relative_path,label,label_name,disease_key,disease,species,device,split
C:\Users\orang\OneDrive\Desktop\딥러닝 실습_반려동물 안구질환\153.반려동물 안구질환 데이터\01.데이터\2.Validation\원천데이터\개\안구\일반\색소침착성각막염\무\D0_0c0f66f6-60a5-11ec-8402-0a7404972c70.png,153.반려동물 안구질환 데이터\01.데이터\2.Validation\원천데이터\개\안구\일반\색소침착성각막염\무\D0_0c0f66f6-60a5-11ec-8402-0a7404972c70.png,0,무,pigmentary_keratitis,색소침착성각막염,개,일반,test
C:\Users\orang\OneDrive\Desktop\딥러닝 실습_반려동물 안구질환\153.반려동물 안구질환 데이터\01.데이터\2.Validation\원천데이터\개\안구\일반\색소침착성각막염\무\D10_0c277093-60a5-11ec-8402-0a7404972c70.png,153.반려동물 안구질환 데이터\01.데이터\2.Validation\원천데이터\개\안구\일반\색소침착성각막염\무\D10_0c277093-60a5-11ec-8402-0a7404972c70.png,0,무,pigmentary_keratitis,색소침착성각막염,개,일반,test
C:\Users\orang\OneDrive\Desktop\딥러닝 실습_반려동물 안구질환\153.반려동물 안구질환 데이터\01.데이터\2.Validation\원천데이터\개\안구\일반\색소침착성각막염\무\D10_0c55376a-60a5-11ec-8402-0a7404972c70.png,153.반려동물 안구질환 데이터\01.데이터\2.Validation\원천데이터\개\안구\일반\색소침착성각막염\무\D10_0c55376a-60a5-11ec-8402-0a7404972c70.png,0,무,pigmentary_keratitis,색소침착성각막염,개,일반,test
C:\Users\orang\OneDrive\Desktop\딥러닝 실습_반려동물 안구질환\153.반려동물 안구질환 데이터\01.데이터\2.Validation\원천데이터\개\안구\일반\색소침착성각막염\무\D10_29abbdf7-60a5-11ec-8402-0a7404972c70.jpg,153.반려동물 안구질환 데이터\01.데이터\2.Validation\원천데이터\개\안구\일반\색소침착성각막염\무\D10_29abbdf7-60a5-11ec-8402-0a7404972c70.jpg,0,무,pigmentary_keratitis,색소침착성각막염,개,일반,test
C:\Users\orang\OneDrive\Desktop\딥러닝 실습_반려동물 안구질환\153.반려동물 안구질환 데이터\01.데이터\2.Validation\원천데이터\개\안구\일반\색소침착성각막염\무\D10_29c022d3-60a5-11ec-8402-0a7404972c70.jpg,153.반려동물 안구질환 데이터\01.데이터\2.Validation\원천데이터\개\안구\일반\색소침착성각막염\무\D10_29c022d3-60a5-11ec-8402-0a7404972c70.jpg,0,무,pigmentary_keratitis,색소침착성각막염,개,일반,test
C:\Users\orang\OneDrive\Desktop\딥러닝 실습_반려동물 안구질환\153.반려동물 안구질환 데이터\01.데이터\2.Validation\원천데이터\개\안구\일반\색소침착성각막염\무\D11_29de63c9-60a5-11ec-8402-0a7404972c70.jpg,153.반려동물 안구질환 데이터\01.데이터\2.Validation\원천데이터\개\안구\일반\색소침착성각막염\무\D11_29de63c9-60a5-11ec-8402-0a7404972c70.jpg,0,무,pigmentary_keratitis,색소침착성각막염,개,일반,test
C:\Users\orang\OneDrive\Desktop\딥러닝 실습_반려동물 안구질환\153.반려동물 안구질환 데이터\01.데이터\2.Validation\원천데이터\개\안구\일반\색소침착성각막염\무\D12_03d1deda-60a5-11ec-8402-0a7404972c70.png,153.반려동물 안구질환 데이터\01.데이터\2.Validation\원천데이터\개\안구\일반\색소침착성각막염\무\D12_03d1deda-60a5-11ec-8402-0a7404972c70.png,0,무,pigmentary_keratitis,색소침착성각막염,개,일반,test
C:\Users\orang\OneDrive\Desktop\딥러닝 실습_반려동물 안구질환\153.반려동물 안구질환 데이터\01.데이터\2.Validation\원천데이터\개\안구\일반\색소침착성각막염\무\D13_03b4650b-60a5-11ec-8402-0a7404972c70.png,153.반려동물 안구질환 데이터\01.데이터\2.Validation\원천데이터\개\안구\일반\색소침착성각막염\무\D13_03b4650b-60a5-11ec-8402-0a7404972c70.png,0,무,pigmentary_keratitis,색소침착성각막염,개,일반,test
C:\Users\orang\OneDrive\Desktop\딥러닝 실습_반려동물 안구질환\153.반려동물 안구질환 데이터\01.데이터\2.Validation\원천데이터\개\안구\일반\색소침착성각막염\무\D13_29ea256a-60a5-11ec-8402-0a7404972c70.jpg,153.반려동물 안구질환 데이터\01.데이터\2.Validation\원천데이터\개\안구\일반\색소침착성각막염\무\D13_29ea256a-60a5-11ec-8402-0a7404972c70.jpg,0,무,pigmentary_keratitis,색소침착성각막염,개,일반,test
C:\Users\orang\OneDrive\Desktop\딥러닝 실습_반려동물 안구질환\153.반려동물 안구질환 데이터\01.데이터\2.Validation\원천데이터\개\안구\일반\색소침착성각막염\무\D14_03d6b912-60a5-11ec-8402-0a7404972c70.png,153.반려동물 안구질환 데이터\01.데이터\2.Validation\원천데이터\개\안구\일반\색소침착성각막염\무\D14_03d6b912-60a5-11ec-8402-0a7404972c70.png,0,무,pigmentary_keratitis,색소침착성각막염,개,일반,test
